Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
663,Derrick Henry,TEN,RB,13,CLE,15,60,4,0,1,1,9,0,0,1,6.9,6.9
663,Kalen Ballage,LAC,RB,13,NE,7,34,4.9,0,4,3,5,0,0,0,6.9,6.9
670,Raheem Mostert,SF,RB,15,DAL,14,68,4.9,0,0,0,0,0,0,0,6.8,6.8
670,Derrick Henry,TEN,RB,9,CHI,21,68,3.2,0,0,0,0,0,0,0,6.8,6.8
670,Sony Michel,NE,RB,13,LAC,10,35,3.5,0,1,1,23,0,0,0,6.8,6.8
670,Darrell Henderson Jr.,LAR,RB,8,MIA,8,47,5.9,0,2,1,11,0,0,0,6.8,6.8
670,Tony Pollard,DAL,RB,9,PIT,9,57,6.3,0,2,1,1,0,0,0,6.8,6.8
670,James Conner,PIT,RB,10,CIN,13,36,2.8,0,2,2,12,0,0,0,6.8,6.8
670,Le'Veon Bell,KC,RB,8,NYJ,6,7,1.2,0,3,3,31,0,1,0,6.8,6.8
670,Giovani Bernard,CIN,RB,1,LAC,1,7,7,0,5,4,21,0,0,0,6.8,6.8
678,Jordan Howard,MIA,RB,1,NE,8,7,0.9,1,0,0,0,0,0,0,6.7,6.7
678,Devonta Freeman,NYG,RB,6,WAS,18,61,3.4,0,2,1,-4,0,0,0,6.7,6.7
678,Tarik Cohen,CHI,RB,1,DET,7,41,5.9,0,2,2,6,0,0,0,6.7,6.7
678,Devin Singletary,BUF,RB,7,NYJ,8,29,3.6,0,5,2,18,0,0,0,6.7,6.7
678,James White,NE,RB,16,BUF,4,14,3.5,0,3,3,23,0,0,0,6.7,6.7
683,Carlos Hyde,SEA,RB,14,NYJ,15,66,4.4,0,0,0,0,0,0,0,6.6,6.6
683,Latavius Murray,NO,RB,7,CAR,11,47,4.3,0,1,1,9,0,0,0,6.6,6.6
683,Le'Veon Bell,NYJ,RB,1,BUF,6,14,2.3,0,2,2,32,0,0,0,6.6,6.6
683,Nick Chubb,CLE,RB,1,BAL,10,60,6,0,1,1,6,0,1,1,6.6,6.6
687,Corey Clement,PHI,RB,10,NYG,1,5,5,1,0,0,0,0,0,0,6.5,6.5
687,Wayne Gallman,NYG,RB,17,DAL,11,65,5.9,0,0,0,0,0,1,0,6.5,6.5
687,Peyton Barber,WAS,RB,15,SEA,4,5,1.2,1,1,0,0,0,0,0,6.5,6.5
687,Samaje Perine,CIN,RB,10,PIT,7,48,6.9,0,1,1,7,0,0,0,6.5,6.5
687,Duke Johnson,HOU,RB,11,NE,10,15,1.5,0,5,3,20,0,0,0,6.5,6.5
692,Jordan Howard,MIA,RB,2,BUF,5,4,0.8,1,0,0,0,0,0,0,6.4,6.4
692,Mike Boone,MIN,RB,16,NO,1,4,4,1,0,0,0,0,0,0,6.4,6.4
692,Dion Lewis,NYG,RB,14,ARI,2,14,7,1,0,0,0,0,1,1,6.4,6.4
692,Cam Akers,LAR,RB,8,MIA,9,35,3.9,0,1,1,19,0,0,0,6.4,6.4
692,Antonio Gibson,WAS,RB,1,PHI,9,36,4,0,2,2,8,0,0,0,6.4,6.4
692,C.J. Ham,MIN,FB,17,DET,0,0,0,0,3,2,44,0,0,0,6.4,6.4
692,Tony Pollard,DAL,RB,17,NYG,5,15,3,0,5,3,19,0,0,0,6.4,6.4
692,Devin Singletary,BUF,RB,9,SEA,2,1,0.5,0,3,3,33,0,0,0,6.4,6.4
692,Josh Jacobs,LV,RB,12,ATL,7,27,3.9,0,3,3,17,0,1,1,6.4,6.4
692,James White,NE,RB,9,NYJ,2,0,0,0,5,4,24,0,1,0,6.4,6.4
702,Frank Gore,NYJ,RB,2,SF,21,63,3,0,2,0,0,0,0,0,6.3,6.3
702,Frank Gore,NYJ,RB,16,CLE,14,48,3.4,0,1,1,5,0,0,0,6.3,6.3
702,Chase Edmonds,ARI,RB,13,LAR,6,28,4.7,0,5,2,15,0,0,0,6.3,6.3
702,Matt Breida,MIA,RB,12,NYJ,8,36,4.5,0,2,2,17,0,1,1,6.3,6.3
702,Jaylen Samuels,PIT,RB,14,BUF,4,15,3.8,0,4,3,18,0,0,0,6.3,6.3
707,Kareem Hunt,CLE,RB,12,JAX,10,62,6.2,0,2,0,0,0,0,0,6.2,6.2
707,Darrell Henderson Jr.,LAR,RB,16,SEA,12,62,5.2,0,0,0,0,0,0,0,6.2,6.2
707,Benny Snell Jr.,PIT,RB,7,TEN,2,2,1,1,0,0,0,0,0,0,6.2,6.2
707,Alvin Kamara,NO,RB,12,DEN,11,54,4.9,0,2,1,-2,0,0,0,6.2,6.2
707,Miles Sanders,PHI,RB,12,SEA,6,15,2.5,0,3,2,7,0,0,0,6.2,6.2
707,Latavius Murray,NO,RB,9,TB,10,39,3.9,0,2,2,3,0,0,0,6.2,6.2
707,Joshua Kelley,LAC,RB,3,CAR,8,43,5.4,0,2,2,9,0,1,1,6.2,6.2
707,Nyheim Hines,IND,RB,4,CHI,9,24,2.7,0,3,3,8,0,0,0,6.2,6.2
707,Jerick McKinnon,SF,RB,16,ARI,1,4,4,0,4,3,28,0,0,0,6.2,6.2
707,Keith Smith,ATL,FB,15,TB,0,0,0,0,3,3,32,0,0,0,6.2,6.2
707,LeSean McCoy,TB,RB,15,ATL,0,0,0,0,3,3,32,0,0,0,6.2,6.2
707,David Montgomery,CHI,RB,9,TEN,14,30,2.1,0,3,3,12,0,1,1,6.2,6.2
719,Todd Gurley II,ATL,RB,2,DAL,21,61,2.9,0,0,0,0,0,0,0,6.1,6.1
719,Jordan Howard,MIA,RB,3,JAX,3,1,0.3,1,0,0,0,0,0,0,6.1,6.1
719,Cam Akers,LAR,RB,5,WAS,9,61,6.8,0,0,0,0,0,0,0,6.1,6.1
719,Devontae Booker,LV,RB,13,NYJ,16,50,3.1,0,2,1,1,0,0,0,6.1,6.1
719,Ito Smith,ATL,RB,16,KC,10,46,4.6,0,1,1,5,0,1,0,6.1,6.1
719,Ezekiel Elliott,DAL,RB,7,WAS,12,45,3.8,0,2,1,6,0,0,0,6.1,6.1
719,Samaje Perine,CIN,RB,14,DAL,10,32,3.2,0,2,2,9,0,0,0,6.1,6.1
