Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
152,Ezekiel Elliott,DAL,RB,12,WAS,6,11,6800,16.06
156,Chris Carson,SEA,RB,4,MIA,14,19,6300,16.05
157,Miles Sanders,PHI,RB,5,PIT,6,2,6500,16.03
158,Melvin Gordon III,DEN,RB,17,LV,27,30,5700,15.99
158,Aaron Jones,GB,RB,9,SF,6,2,6800,15.99
160,Melvin Gordon III,DEN,RB,4,NYJ,16,26,6900,15.98
160,James Conner,PIT,RB,1,NYG,29,18,6600,15.98
162,James Robinson,JAX,RB,11,PIT,4,2,6400,15.97
163,Kenyan Drake,ARI,RB,1,SF,4,3,6400,15.95
164,Nick Chubb,CLE,RB,3,WAS,13,3,6900,15.93
165,Mike Davis,CAR,RB,11,DET,27,32,6800,15.91
166,James Conner,PIT,RB,3,HOU,26,28,6700,15.9
167,Aaron Jones,GB,RB,1,MIN,10,14,6900,15.89
168,Nick Chubb,CLE,RB,15,NYG,10,21,7700,15.88
169,Giovani Bernard,CIN,RB,8,TEN,22,22,5800,15.86
170,Nick Chubb,CLE,RB,17,PIT,2,5,7600,15.81
170,Josh Jacobs,LV,RB,17,DEN,19,19,6200,15.81
172,David Montgomery,CHI,RB,6,CAR,7,30,5800,15.8
173,Nick Chubb,CLE,RB,13,TEN,22,26,7700,15.79
173,Chris Carson,SEA,RB,17,SF,5,7,6200,15.79
175,Leonard Fournette,TB,RB,16,DET,31,32,5500,15.78
175,Ezekiel Elliott,DAL,RB,11,MIN,24,11,6500,15.78
177,Mike Davis,CAR,RB,10,TB,8,9,4000,15.77
178,Derrick Henry,TEN,RB,12,IND,3,7,7900,15.76
179,Miles Sanders,PHI,RB,10,NYG,15,15,6400,15.74
180,Todd Gurley II,ATL,RB,9,DEN,13,7,6200,15.72
181,David Johnson,HOU,RB,7,GB,16,31,5300,15.69
182,Todd Gurley II,ATL,RB,5,CAR,10,28,5700,15.62
182,Josh Jacobs,LV,RB,15,LAC,19,14,6500,15.62
182,David Montgomery,CHI,RB,14,HOU,27,31,6500,15.62
185,Derrick Henry,TEN,RB,11,BAL,3,8,8000,15.61
185,Devin Singletary,BUF,RB,5,TEN,22,26,5500,15.61
187,Josh Jacobs,LV,RB,10,DEN,18,8,6500,15.6
188,Joe Mixon,CIN,RB,1,LAC,7,22,6700,15.59
188,Alvin Kamara,NO,RB,13,ATL,26,4,7000,15.59
190,Melvin Gordon III,DEN,RB,16,LAC,18,15,5600,15.57
191,David Johnson,HOU,RB,9,JAX,29,27,5600,15.56
192,Miles Sanders,PHI,RB,11,CLE,19,10,6900,15.52
192,Chris Carson,SEA,RB,14,NYJ,30,12,6900,15.52
194,Clyde Edwards-Helaire,KC,RB,9,CAR,12,29,6100,15.51
195,David Johnson,HOU,RB,2,BAL,2,7,5800,15.48
196,James Robinson,JAX,RB,7,LAC,21,7,6200,15.45
197,Josh Jacobs,LV,RB,7,TB,2,8,6300,15.4
198,Myles Gaskin,MIA,RB,13,CIN,23,23,5900,15.39
199,Clyde Edwards-Helaire,KC,RB,8,NYJ,20,25,6500,15.38
200,Nyheim Hines,IND,RB,12,TEN,22,27,4600,15.34
201,Ronald Jones,TB,RB,14,MIN,22,13,6100,15.33
201,D'Andre Swift,DET,RB,15,TEN,25,26,6400,15.33
203,Jonathan Taylor,IND,RB,16,PIT,2,3,7300,15.32
204,Miles Sanders,PHI,RB,12,SEA,32,21,6600,15.31
205,Josh Jacobs,LV,RB,16,MIA,4,8,6600,15.28
205,Mike Davis,CAR,RB,12,MIN,25,16,6900,15.28
207,David Johnson,HOU,RB,17,TEN,26,26,6800,15.25
