Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
171,Mike Gesicki,MIA,TE,5,TB,28,27,4200,10.5
172,Tyler Higbee,LAR,TE,3,TB,24,18,4000,10.47
173,Zach Ertz,ARI,TE,14,LAR,7,15,5300,10.46
173,Tyler Higbee,LAR,TE,13,JAX,20,21,3800,10.46
175,Mike Gesicki,MIA,TE,16,NO,8,8,5400,10.45
176,Zach Ertz,ARI,TE,11,SEA,20,15,4800,10.39
177,Robert Tonyan,GB,TE,2,DET,28,20,4300,10.34
177,Robert Tonyan,GB,TE,8,ARI,2,1,3800,10.34
179,Dawson Knox,BUF,TE,14,TB,9,21,5000,10.29
180,Hunter Henry,NE,TE,7,NYJ,19,23,4100,10.28
181,Pat Freiermuth,PIT,TE,14,MIN,31,11,4300,10.24
182,Noah Fant,DEN,TE,12,LAC,21,30,4600,10.21
183,Noah Fant,DEN,TE,13,KC,18,26,4400,10.19
183,Noah Fant,DEN,TE,17,LAC,25,32,4400,10.19
185,Dawson Knox,BUF,TE,12,NO,9,5,4400,10.17
185,Tyler Higbee,LAR,TE,6,NYG,27,26,4400,10.17
187,Dawson Knox,BUF,TE,10,NYJ,32,25,4500,10.13
187,Zach Ertz,ARI,TE,10,CAR,4,12,4600,10.13
189,Hunter Henry,NE,TE,11,ATL,28,16,4500,10.12
190,Tyler Higbee,LAR,TE,12,GB,6,15,4200,10.08
191,Tyler Conklin,MIN,TE,14,PIT,22,9,4100,10.02
192,Dalton Schultz,DAL,TE,15,NYG,20,14,4900,10
192,Zach Ertz,ARI,TE,9,SF,13,10,4700,10
194,Jared Cook,LAC,TE,4,LV,10,9,3500,9.97
195,Rob Gronkowski,TB,TE,8,NO,3,3,4600,9.96
196,Pat Freiermuth,PIT,TE,15,TEN,18,5,4500,9.95
196,Tyler Higbee,LAR,TE,9,TEN,23,7,4200,9.95
198,Dawson Knox,BUF,TE,18,NYJ,32,29,5400,9.93
199,Dawson Knox,BUF,TE,13,NE,2,1,4700,9.88
199,Austin Hooper,CLE,TE,2,HOU,15,26,3800,9.88
201,Mike Gesicki,MIA,TE,1,NE,8,5,4500,9.87
202,Tyler Higbee,LAR,TE,18,SF,7,4,4000,9.84
203,Cole Kmet,CHI,TE,2,CIN,20,10,3700,9.81
203,Mike Gesicki,MIA,TE,17,TEN,17,5,5300,9.81
205,Hunter Henry,NE,TE,17,JAX,20,15,4200,9.79
206,Zach Ertz,PHI,TE,1,ATL,29,29,3800,9.71
207,Dawson Knox,BUF,TE,5,KC,31,24,4300,9.68
207,Hunter Henry,NE,TE,6,DAL,20,25,3900,9.68
209,Noah Fant,DEN,TE,14,DET,29,14,4500,9.67
210,Jared Cook,LAC,TE,5,CLE,4,11,3600,9.66
210,Ricky Seals-Jones,WAS,TE,8,DEN,4,4,3800,9.66
