name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Noah FantF • 24 - 10 @ KC,SEA,TE,16,KC,3,2,66.7,12,1,6,4,6,0,0,0,0,0,0,9.2,9.2
 Cole KmetF • 49 - 29 @ DAL,CHI,TE,8,DAL,2,2,100,11,1,10,5.5,5.5,0,0,0,0,0,0,9.1,9.1
 Austin HooperF • 17 - 10 vs. DEN,TEN,TE,10,DEN,7,5,71.4,41,0,17,5.9,8.2,0,0,0,0,0,0,9.1,9.1
 Josiah DeguaraF • 15 - 9 @ DET,GB,TE,9,DET,5,5,100,41,0,25,8.2,8.2,0,0,0,0,0,0,9.1,9.1
 Foster MoreauF • 24 - 0 @ NO,LV,TE,8,NO,9,6,66.7,31,0,12,3.4,5.2,0,0,0,0,0,0,9.1,9.1
 Peyton HendershotF/OT • 40 - 34 @ JAX,DAL,TE,15,JAX,1,1,100,20,1,20,20,20,0,0,0,0,0,0,9,9
 Dawson KnoxF • 27 - 17 vs. GB,BUF,TE,8,GB,3,2,66.7,10,1,9,3.3,5,0,0,0,0,0,0,9,9
 Dallas GoedertF • 35 - 38 @ DET,PHI,TE,1,DET,4,3,75,60,0,27,15,20,0,0,0,0,0,0,9,9
 Hunter HenryF • 26 - 3 vs. IND,NE,TE,9,IND,4,4,100,50,0,30,12.5,12.5,0,0,0,0,0,0,9,9
 Evan EngramF • 34 - 27 @ IND,JAX,TE,6,IND,6,5,83.3,40,0,16,6.7,8,0,0,0,0,0,0,9,9
 Lawrence CagerF • 24 - 16 vs. HOU,NYG,TE,10,HOU,2,2,100,9,1,9,4.5,4.5,0,0,0,0,0,0,8.9,8.9
 MyCole PruittF • 19 - 13 @ WAS,ATL,TE,12,WAS,3,2,66.7,9,1,5,3,4.5,0,0,0,0,0,0,8.9,8.9
 MyCole PruittF • 20 - 19 vs. ARI,ATL,TE,17,ARI,4,4,100,49,0,25,12.2,12.2,0,0,0,0,0,0,8.9,8.9
 Charlie KolarF • 27 - 16 @ CIN,BAL,TE,18,CIN,6,4,66.7,49,0,15,8.2,12.2,0,0,0,0,0,0,8.9,8.9
 Tyler HigbeeF • 10 - 31 vs. BUF,LAR,TE,1,BUF,11,5,45.5,39,0,11,3.5,7.8,0,0,0,0,0,0,8.9,8.9
 James MitchellF • 15 - 9 vs. GB,DET,TE,9,GB,2,2,100,8,1,5,4,4,0,0,0,0,0,0,8.8,8.8
 Josh OliverF • 26 - 37 @ NE,BAL,TE,3,NE,2,2,100,8,1,7,4,4,0,0,0,0,0,0,8.8,8.8
 Tanner HudsonF • 27 - 13 @ SEA,NYG,TE,8,SEA,5,3,60,58,0,27,11.6,19.3,0,0,0,0,0,0,8.8,8.8
 David NjokuF • 15 - 38 vs. NE,CLE,TE,6,NE,6,3,50,58,0,33,9.7,19.3,0,0,0,0,0,0,8.8,8.8
 T.J. HockensonF • 24 - 6 @ DAL,DET,TE,7,DAL,5,4,80,48,0,16,9.6,12,0,0,0,0,0,0,8.8,8.8
 Connor HeywardF • 16 - 19 @ ATL,PIT,TE,13,ATL,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
 Blake BellF • 27 - 24 vs. DEN,KC,TE,17,DEN,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
 Brycen HopkinsF • 51 - 14 vs. DEN,LAR,TE,16,DEN,3,3,100,57,0,22,19,19,0,0,0,0,0,0,8.7,8.7
 Jake FergusonF • 28 - 20 vs. NYG,DAL,TE,12,NYG,3,3,100,57,0,30,19,19,0,0,0,0,0,0,8.7,8.7
 George KittleF • 15 - 37 @ CAR,SF,TE,5,CAR,6,5,83.3,47,0,20,7.8,9.4,0,0,0,0,1,1,8.7,8.7
 Daniel BellingerF • 19 - 16 vs. CAR,NYG,TE,2,CAR,1,1,100,16,1,16,16,16,0,0,0,0,0,0,8.6,8.6
 Austin HooperF • 19 - 10 vs. IND,TEN,TE,7,IND,3,3,100,56,0,23,18.7,18.7,0,0,0,0,0,0,8.6,8.6
 Brevin JordanF • 14 - 27 vs. CLE,HOU,TE,13,CLE,5,4,80,46,0,20,9.2,11.5,0,0,0,0,0,0,8.6,8.6
 Mike GesickiF • 11 - 6 vs. NYJ,MIA,TE,18,NYJ,6,4,66.7,46,0,32,7.7,11.5,0,0,0,0,0,0,8.6,8.6
 Travis KelceF • 27 - 24 @ CIN,KC,TE,13,CIN,6,4,66.7,56,0,19,9.3,14,0,0,0,0,1,1,8.6,8.6
 Gerald EverettF • 17 - 20 @ ATL,LAC,TE,9,ATL,8,5,62.5,36,0,16,4.5,7.2,1,0,0,0,0,0,8.6,8.6
 Eric SaubertF/OT • 9 - 12 vs. IND,DEN,TE,5,IND,7,5,71.4,36,0,10,5.1,7.2,0,0,0,0,0,0,8.6,8.6
 Peyton HendershotF • 24 - 6 vs. DET,DAL,TE,7,DET,2,2,100,5,1,3,2.5,2.5,0,0,0,0,0,0,8.5,8.5
 Foster MoreauF/OT • 34 - 37 vs. SF,LV,TE,17,SF,3,3,100,55,0,21,18.3,18.3,0,0,0,0,0,0,8.5,8.5
 Cole KmetF • 29 - 22 @ MIN,CHI,TE,5,MIN,4,4,100,45,0,23,11.2,11.2,0,0,0,0,0,0,8.5,8.5
 Tyler HigbeeF • 27 - 20 @ NO,LAR,TE,11,NO,8,4,50,45,0,20,5.6,11.2,0,0,0,0,0,0,8.5,8.5
 Jonnu SmithF • 10 - 3 vs. NYJ,NE,TE,11,NYJ,4,4,100,40,0,26,10,10,1,5,5,0,1,0,8.5,8.5
 Will DisslyF • 23 - 37 @ LAC,SEA,TE,7,LAC,4,4,100,45,0,16,11.2,11.2,0,0,0,0,0,0,8.5,8.5
 Hayden HurstF • 42 - 21 vs. CAR,CIN,TE,9,CAR,5,5,100,35,0,13,7,7,0,0,0,0,0,0,8.5,8.5
 Robert TonyanF • 27 - 17 @ BUF,GB,TE,8,BUF,6,5,83.3,35,0,15,5.8,7,0,0,0,0,0,0,8.5,8.5
 Quintin MorrisF • 32 - 29 vs. MIA,BUF,TE,15,MIA,1,1,100,14,1,14,14,14,0,0,0,0,0,0,8.4,8.4
 T.J. HockensonF • 3 - 40 vs. DAL,MIN,TE,11,DAL,9,5,55.6,34,0,11,3.8,6.8,0,0,0,0,0,0,8.4,8.4
 T.J. HockensonF/OT • 39 - 36 vs. IND,MIN,TE,15,IND,9,3,33.3,33,0,14,3.7,11,0,0,0,0,0,0,8.3,8.3
 Donald Parham Jr.F/OT • 19 - 16 vs. DEN,LAC,TE,6,DEN,3,3,100,53,0,24,17.7,17.7,0,0,0,0,0,0,8.3,8.3
 Isaiah LikelyF • 38 - 42 vs. MIA,BAL,TE,2,MIA,5,4,80,43,0,34,8.6,10.8,0,0,0,0,0,0,8.3,8.3
 Albert OkwuegbunamF • 17 - 16 @ SEA,DEN,TE,1,SEA,6,5,83.3,33,0,12,5.5,6.6,0,0,0,0,0,0,8.3,8.3
 Taysom HillF • 24 - 0 vs. LV,NO,TE,8,LV,2,1,50,11,0,11,5.5,11,10,61,6.1,0,0,0,8.3,8.28
 Tyler ConklinF • 20 - 24 @ PIT,NYJ,TE,4,PIT,5,3,60,52,0,26,10.4,17.3,0,0,0,0,0,0,8.2,8.2
 Irv Smith Jr.F • 29 - 22 vs. CHI,MIN,TE,5,CHI,5,4,80,42,0,15,8.4,10.5,0,0,0,0,0,0,8.2,8.2
 Gerald EverettF • 17 - 14 vs. TEN,LAC,TE,15,TEN,6,4,66.7,42,0,21,7,10.5,0,0,0,0,0,0,8.2,8.2
 Hayden HurstF • 32 - 13 @ CLE,CIN,TE,8,CLE,4,4,100,42,0,21,10.5,10.5,0,0,0,0,0,0,8.2,8.2
 Taysom HillF • 25 - 28 vs. MIN,NO,TE,4,MIN,0,0,0,0,0,0,0,0,5,21,4.2,1,0,0,8.1,8.1
 Jonnu SmithF • 15 - 38 @ CLE,NE,TE,6,CLE,2,2,100,61,0,53,30.5,30.5,0,0,0,0,0,0,8.1,8.1
 Tommy TrembleF • 42 - 21 @ CIN,CAR,TE,9,CIN,4,2,50,11,1,8,2.8,5.5,0,0,0,0,1,1,8.1,8.1
 Connor HeywardF • 28 - 14 vs. CLE,PIT,TE,18,CLE,4,3,75,45,0,27,11.2,15,1,6,6,0,0,0,8.1,8.1
 Dawson KnoxF • 41 - 7 vs. TEN,BUF,TE,2,TEN,5,4,80,41,0,15,8.2,10.2,0,0,0,0,0,0,8.1,8.1
 Harrison BryantF • 31 - 23 @ BUF,CLE,TE,11,BUF,7,4,57.1,41,0,14,5.9,10.2,0,0,0,0,0,0,8.1,8.1
