Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Diontae Johnson,PIT,WR,1,BUF,14,6,6600,12.15
 Mike Williams,LAC,WR,10,MIN,25,27,6900,12.14
 DJ Moore,CAR,WR,14,ATL,30,25,6800,12.14
 Marquise Brown,BAL,WR,12,CLE,11,16,7200,12.13
 Julio Jones,TEN,WR,2,SEA,12,15,6300,12.11
 Courtland Sutton,DEN,WR,7,CLE,19,29,6700,12.1
 Allen Robinson II,CHI,WR,1,LAR,1,1,6900,12.1
 Hunter Renfrow,LV,WR,17,IND,16,17,6900,12.1
 Amari Cooper,DAL,WR,15,NYG,20,23,7000,12.09
 Sterling Shepard,NYG,WR,3,ATL,30,25,6400,12.09
 DJ Moore,CAR,WR,10,ARI,2,19,6800,12.04
 Brandin Cooks,HOU,WR,18,TEN,11,30,7100,12.04
 Marquise Brown,BAL,WR,7,CIN,4,10,7300,12.03
 Amari Cooper,DAL,WR,17,ARI,5,27,6700,12.02
 DK Metcalf,SEA,WR,17,DET,28,10,6600,12.01
 Tee Higgins,CIN,WR,11,LV,22,6,6500,12.01
 Michael Pittman Jr.,IND,WR,6,HOU,24,5,5800,11.99
 Marvin Jones Jr.,JAX,WR,5,TEN,25,32,6600,11.97
 Michael Pittman Jr.,IND,WR,13,HOU,28,21,6800,11.97
 Antonio Brown,TB,WR,6,PHI,11,7,7000,11.96
 Courtland Sutton,DEN,WR,6,LV,9,3,6600,11.96
 Michael Pittman Jr.,IND,WR,17,LV,19,3,6500,11.96
 Chase Claypool,PIT,WR,3,CIN,10,20,5800,11.94
 Tyler Lockett,SEA,WR,13,SF,7,9,6900,11.94
 Brandon Aiyuk,SF,WR,1,DET,32,30,6500,11.92
 Michael Pittman Jr.,IND,WR,18,JAX,25,25,6600,11.9
 Terry McLaurin,WAS,WR,11,CAR,3,3,7000,11.9
 DJ Moore,CAR,WR,12,MIA,29,30,6700,11.89
 Tyler Lockett,SEA,WR,12,WAS,31,30,6800,11.89
 Michael Pittman Jr.,IND,WR,8,TEN,21,32,6600,11.87
 Jarvis Landry,CLE,WR,2,HOU,15,26,6800,11.87
 Tyler Boyd,CIN,WR,4,JAX,26,21,6100,11.87
 Jaylen Waddle,MIA,WR,13,NYG,14,15,6900,11.87
 Hunter Renfrow,LV,WR,13,WAS,30,29,6400,11.85
 Courtland Sutton,DEN,WR,9,DAL,18,25,6700,11.83
 Darnell Mooney,CHI,WR,13,ARI,3,11,6700,11.82
 Jaylen Waddle,MIA,WR,11,NYJ,32,22,6700,11.82
 Brandin Cooks,HOU,WR,1,JAX,31,21,6300,11.81
 Tyler Lockett,SEA,WR,18,ARI,6,28,6900,11.81
 Jaylen Waddle,MIA,WR,12,CAR,4,4,6700,11.8
 Tee Higgins,CIN,WR,15,DEN,3,8,6800,11.77
 Ja'Marr Chase,CIN,WR,3,PIT,17,22,5900,11.77
 Brandin Cooks,HOU,WR,17,SF,11,24,6500,11.76
 Allen Robinson II,CHI,WR,4,DET,28,15,6400,11.75
 Mike Williams,LAC,WR,15,KC,11,10,7000,11.74
 DeVonta Smith,PHI,WR,6,TB,23,30,6100,11.74
 Hunter Renfrow,LV,WR,18,LAC,24,3,7000,11.74
 Marquise Brown,BAL,WR,5,IND,15,24,6800,11.7
 Brandin Cooks,HOU,WR,6,IND,26,30,6500,11.7
 Brandin Cooks,HOU,WR,2,CLE,26,20,6600,11.67
 Odell Beckham Jr.,CLE,WR,4,MIN,29,30,6600,11.66
 Tee Higgins,CIN,WR,1,MIN,25,28,6000,11.66
 Adam Thielen,MIN,WR,11,GB,5,5,7100,11.66
 Marquise Brown,BAL,WR,14,CLE,10,11,7000,11.66
 Hunter Renfrow,LV,WR,16,DEN,3,8,7100,11.64
 Christian Kirk,ARI,WR,18,SEA,23,9,6200,11.6
 Brandin Cooks,HOU,WR,11,TEN,25,32,6600,11.6
 Chase Claypool,PIT,WR,6,SEA,29,26,6700,11.59
 Amari Cooper,DAL,WR,14,WAS,28,29,6700,11.58
 Tyler Lockett,SEA,WR,6,PIT,16,31,6800,11.58
 Darnell Mooney,CHI,WR,12,DET,28,14,6800,11.57
 Brandin Cooks,HOU,WR,5,NE,3,4,6300,11.57
 Corey Davis,NYJ,WR,1,CAR,18,10,5800,11.56
 Jaylen Waddle,MIA,WR,9,HOU,29,22,6100,11.56
 Brandon Aiyuk,SF,WR,15,ATL,28,26,6600,11.55
 Mike Williams,LAC,WR,18,LV,20,2,6700,11.54
 Mike Williams,LAC,WR,11,PIT,8,19,6500,11.53
 Michael Pittman Jr.,IND,WR,11,BUF,1,1,6900,11.53
 Amon-Ra St. Brown,DET,WR,17,SEA,24,7,6900,11.53
 Hunter Renfrow,LV,WR,14,KC,15,9,6700,11.53
 Michael Pittman Jr.,IND,WR,7,SF,17,18,6400,11.52
 Chase Claypool,PIT,WR,13,BAL,15,20,6500,11.51
 DeVonta Smith,PHI,WR,8,DET,29,25,6200,11.51
 Marvin Jones Jr.,JAX,WR,3,ARI,11,24,6300,11.51
 Tee Higgins,CIN,WR,6,DET,25,10,6400,11.5
 Ja'Marr Chase,CIN,WR,2,CHI,27,30,5500,11.5
 Deebo Samuel,SF,WR,1,DET,32,30,6300,11.5
 DeVonta Smith,PHI,WR,11,NO,7,28,6600,11.47
 DeAndre Hopkins,ARI,WR,14,LAR,7,12,7300,11.47
 Tee Higgins,CIN,WR,5,GB,10,11,6700,11.46
 Brandin Cooks,HOU,WR,7,ARI,2,27,6500,11.46
 Cole Beasley,BUF,WR,4,HOU,15,9,5900,11.46
 Emmanuel Sanders,BUF,WR,8,MIA,31,30,6700,11.45
 Jaylen Waddle,MIA,WR,18,NE,2,5,6800,11.45
 Corey Davis,NYJ,WR,2,NE,6,6,6400,11.44
 DeAndre Hopkins,ARI,WR,13,CHI,16,26,7200,11.42
 Adam Thielen,MIN,WR,6,CAR,3,6,7200,11.42
 Jaylen Waddle,MIA,WR,16,NO,8,24,6900,11.42
 Chase Claypool,PIT,WR,2,LV,14,12,5900,11.41
 DK Metcalf,SEA,WR,16,CHI,21,29,6700,11.41
