name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Terrace Marshall Jr.F • 13 - 3 @ BAL,CAR,WR,11,BAL,6,3,50,76,0,34,12.7,25.3,0,0,0,0,0,0,10.6,10.6
 Mecole HardmanF • 21 - 44 @ ARI,KC,WR,1,ARI,6,3,50,16,1,8,2.7,5.3,0,0,0,0,0,0,10.6,10.6
 Kalif RaymondF • 27 - 31 vs. MIA,DET,WR,8,MIA,4,3,75,76,0,43,19,25.3,0,0,0,0,0,0,10.6,10.6
 Ben SkowronekF • 12 - 20 @ ARI,LAR,WR,3,ARI,4,4,100,66,0,32,16.5,16.5,0,0,0,0,0,0,10.6,10.6
 Jaylen WaddleF • 39 - 17 vs. CLE,MIA,WR,10,CLE,5,4,80,66,0,29,13.2,16.5,0,0,0,0,0,0,10.6,10.6
 Kalif RaymondF • 16 - 20 @ GB,DET,WR,18,GB,6,4,66.7,66,0,43,11,16.5,0,0,0,0,0,0,10.6,10.6
 Keenan AllenF • 24 - 19 vs. LV,LAC,WR,1,LV,4,4,100,66,0,42,16.5,16.5,0,0,0,0,0,0,10.6,10.6
 CeeDee LambF • 24 - 6 vs. DET,DAL,WR,7,DET,6,4,66.7,70,0,24,11.7,17.5,1,-4,-4,0,0,0,10.6,10.6
 Terry McLaurinF • 17 - 20 vs. MIN,WAS,WR,9,MIN,9,5,55.6,56,0,18,6.2,11.2,0,0,0,0,0,0,10.6,10.6
 Joshua PalmerF • 24 - 25 @ ARI,LAC,WR,12,ARI,7,5,71.4,56,0,18,8,11.2,0,0,0,0,1,0,10.6,10.6
 Marquise BrownF • 24 - 25 vs. LAC,ARI,WR,12,LAC,8,6,75,46,0,13,5.8,7.7,0,0,0,0,0,0,10.6,10.6
 Russell GageF • 30 - 17 @ ATL,TB,WR,18,ATL,6,3,50,15,1,7,2.5,5,0,0,0,0,0,0,10.5,10.5
 Jerry JeudyF • 10 - 9 @ BAL,DEN,WR,13,BAL,4,4,100,65,0,40,16.2,16.2,0,0,0,0,0,0,10.5,10.5
 Chris OlaveF • 17 - 16 @ TB,NO,WR,13,TB,6,4,66.7,65,0,26,10.8,16.2,0,0,0,0,0,0,10.5,10.5
 Nico CollinsF • 6 - 13 @ JAX,HOU,WR,5,JAX,6,4,66.7,65,0,23,10.8,16.2,0,0,0,0,0,0,10.5,10.5
 Romeo DoubsF • 24 - 12 vs. LAR,GB,WR,15,LAR,5,5,100,55,0,23,11,11,0,0,0,0,0,0,10.5,10.5
 Chris GodwinF • 30 - 17 @ ATL,TB,WR,18,ATL,7,6,85.7,55,0,17,7.9,9.2,0,0,0,0,1,1,10.5,10.5
 Rashid ShaheedF • 26 - 30 vs. CIN,NO,WR,6,CIN,1,0,0,0,0,0,0,0,1,44,44,1,0,0,10.4,10.4
 Michael GallupF • 25 - 10 vs. WAS,DAL,WR,4,WAS,3,2,66.7,24,1,15,8,12,0,0,0,0,0,0,10.4,10.4
 DeVante ParkerF/OT • 27 - 24 @ GB,NE,WR,4,GB,2,2,100,24,1,25,12,12,0,0,0,0,0,0,10.4,10.4
 N'Keal HarryF • 49 - 29 @ DAL,CHI,WR,8,DAL,2,2,100,24,1,17,12,12,0,0,0,0,0,0,10.4,10.4
 Amari CooperF • 23 - 20 @ BAL,CLE,WR,7,BAL,4,3,75,74,0,55,18.5,24.7,0,0,0,0,0,0,10.4,10.4
 DeVante ParkerF • 15 - 38 @ CLE,NE,WR,6,CLE,6,4,66.7,64,0,29,10.7,16,0,0,0,0,0,0,10.4,10.4
 Noah BrownF • 16 - 23 @ NYG,DAL,WR,3,NYG,7,5,71.4,54,0,19,7.7,10.8,0,0,0,0,0,0,10.4,10.4
 Mike EvansF • 21 - 16 vs. SEA,TB,WR,10,SEA,6,5,83.3,54,0,29,9,10.8,0,0,0,0,0,0,10.4,10.4
 Allen Robinson IIF • 14 - 31 vs. SF,LAR,WR,8,SF,7,5,71.4,54,0,23,7.7,10.8,0,0,0,0,0,0,10.4,10.4
 Chris GodwinF • 35 - 7 @ SF,TB,WR,14,SF,9,5,55.6,54,0,32,6,10.8,0,0,0,0,0,0,10.4,10.4
 Nico CollinsF • 30 - 15 @ MIA,HOU,WR,12,MIA,9,6,66.7,44,0,12,4.9,7.3,0,0,0,0,0,0,10.4,10.4
 Devin DuvernayF • 26 - 37 @ NE,BAL,WR,3,NE,2,2,100,25,1,21,12.5,12.5,2,-2,-1,0,0,0,10.3,10.3
 Ty MontgomeryF • 20 - 7 @ MIA,NE,WR,1,MIA,4,3,75,15,1,7,3.8,5,2,-2,-1,0,0,0,10.3,10.3
 Diontae JohnsonF • 20 - 10 vs. NO,PIT,WR,10,NO,5,4,80,63,0,36,12.6,15.8,0,0,0,0,0,0,10.3,10.3
 Jaylen WaddleF • 11 - 6 vs. NYJ,MIA,WR,18,NYJ,5,5,100,44,0,15,8.8,8.8,1,9,9,0,0,0,10.3,10.3
 DeAndre CarterF • 17 - 20 @ ATL,LAC,WR,9,ATL,6,5,83.3,53,0,23,8.8,10.6,0,0,0,0,0,0,10.3,10.3
 CeeDee LambF • 10 - 22 @ LAR,DAL,WR,5,LAR,8,5,62.5,53,0,16,6.6,10.6,0,0,0,0,0,0,10.3,10.3
 Devin DuvernayF • 10 - 9 vs. DEN,BAL,WR,13,DEN,6,6,100,34,0,13,5.7,5.7,2,9,4.5,0,0,0,10.3,10.3
 Jahan DotsonF • 26 - 6 vs. DAL,WAS,WR,18,DAL,4,3,75,72,0,30,18,24,0,0,0,0,0,0,10.2,10.2
 Kendall HintonF • 17 - 10 @ TEN,DEN,WR,10,TEN,5,4,80,62,0,35,12.4,15.5,0,0,0,0,0,0,10.2,10.2
 Amon-Ra St. BrownF • 41 - 10 vs. CHI,DET,WR,17,CHI,5,4,80,62,0,28,12.4,15.5,0,0,0,0,0,0,10.2,10.2
 Stefon DiggsF • 20 - 23 @ BAL,BUF,WR,4,BAL,6,4,66.7,62,0,23,10.3,15.5,0,0,0,0,0,0,10.2,10.2
 Jalen NailorF • 13 - 29 @ CHI,MIN,WR,18,CHI,5,4,80,62,0,26,12.4,15.5,0,0,0,0,0,0,10.2,10.2
