name,team,pos,wk,opp,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,FPTS/G,FPTS
 James ConnerF • 13 - 27 vs. NE,ARI,RB,14,NE,15,85,5.7,1,7,6,29,0,0,0,23.4,23.4
 Christian McCaffreyF • 15 - 37 vs. SF,CAR,RB,5,SF,14,54,3.9,1,12,7,50,0,0,0,23.4,23.4
 Eno BenjaminF • 42 - 34 vs. NO,ARI,RB,7,NO,12,92,7.7,1,5,4,21,0,0,0,23.3,23.3
 Najee HarrisF • 13 - 16 @ BAL,PIT,RB,17,BAL,22,111,5,0,3,2,12,1,0,0,23.3,23.3
 Nick ChubbF/OT • 23 - 17 vs. TB,CLE,RB,12,TB,26,116,4.5,1,1,1,16,0,0,0,23.2,23.2
 Jeff Wilson Jr.F • 15 - 37 @ CAR,SF,RB,5,CAR,17,120,7.1,1,2,1,12,0,0,0,23.2,23.2
 Nick ChubbF • 28 - 14 @ PIT,CLE,RB,18,PIT,12,77,6.4,0,6,5,45,1,0,0,23.2,23.2
 Breece HallF • 10 - 27 @ GB,NYJ,RB,6,GB,20,116,5.8,1,2,2,5,0,0,0,23.1,23.1
 Raheem MostertF • 23 - 21 @ NE,MIA,RB,17,NE,9,29,3.2,0,8,8,62,1,0,0,23.1,23.1
 Kareem HuntF • 24 - 26 @ CAR,CLE,RB,1,CAR,11,46,4.2,1,4,4,24,1,0,0,23,23
 Saquon BarkleyF • 12 - 20 @ WAS,NYG,RB,15,WAS,18,87,4.8,1,8,5,33,0,0,0,23,23
 Travis Etienne Jr.F • 17 - 23 vs. NYG,JAX,RB,7,NYG,14,114,8.1,1,5,1,5,0,1,1,22.9,22.9
 Christian McCaffreyF • 24 - 10 @ LAR,CAR,RB,6,LAR,13,69,5.3,0,8,7,89,0,0,0,22.8,22.8
 Kenyan DrakeF • 24 - 20 @ NYG,BAL,RB,6,NYG,10,119,11.9,1,2,1,8,0,0,0,22.7,22.7
 Aaron JonesF • 27 - 17 @ BUF,GB,RB,8,BUF,20,143,7.2,0,5,4,14,0,0,0,22.7,22.7
 Jamaal WilliamsF • 27 - 31 vs. MIA,DET,RB,8,MIA,10,53,5.3,2,3,3,23,0,0,0,22.6,22.6
 Saquon BarkleyF • 16 - 23 vs. DAL,NYG,RB,3,DAL,14,81,5.8,1,4,4,45,0,0,0,22.6,22.6
 Jerick McKinnonF • 27 - 24 vs. DEN,KC,RB,17,DEN,2,4,2,0,6,5,52,2,0,0,22.6,22.6
 Josh JacobsF • 20 - 25 vs. IND,LV,RB,10,IND,21,78,3.7,1,8,6,28,0,0,0,22.6,22.6
 Derrick HenryF • 14 - 19 vs. HOU,TEN,RB,16,HOU,23,126,5.5,1,2,2,0,0,1,1,22.6,22.6
 Rhamondre StevensonF • 29 - 0 vs. DET,NE,RB,5,DET,25,161,6.4,0,2,2,14,0,0,0,22.5,22.5
 Clyde Edwards-HelaireF • 31 - 41 @ TB,KC,RB,4,TB,19,92,4.8,1,2,1,2,1,0,0,22.4,22.4
 Clyde Edwards-HelaireF • 21 - 44 @ ARI,KC,RB,1,ARI,7,42,6,0,3,3,32,2,0,0,22.4,22.4
 J.K. DobbinsF • 20 - 23 vs. BUF,BAL,RB,4,BUF,13,41,3.2,1,4,4,22,1,0,0,22.3,22.3
 Raheem MostertF • 40 - 17 @ NYJ,MIA,RB,5,NYJ,18,113,6.3,1,3,1,9,0,0,0,22.2,22.2
 Tony PollardF • 27 - 23 vs. HOU,DAL,RB,14,HOU,10,42,4.2,1,5,4,20,1,0,0,22.2,22.2
 AJ DillonF • 24 - 12 vs. LAR,GB,RB,15,LAR,11,36,3.3,2,3,3,35,0,0,0,22.1,22.1
 Leonard FournetteF • 20 - 18 @ PIT,TB,RB,6,PIT,21,63,3,0,6,6,38,1,0,0,22.1,22.1
 D'Onta ForemanF • 25 - 15 vs. ATL,CAR,RB,10,ATL,31,130,4.2,1,1,0,0,0,0,0,22,22
 Josh JacobsF/OT • 16 - 22 @ DEN,LV,RB,11,DEN,24,109,4.5,0,4,3,51,0,0,0,22,22
 Dontrell HilliardF • 20 - 21 vs. NYG,TEN,RB,1,NYG,2,8,4,0,4,3,61,2,0,0,21.9,21.9
 Latavius MurrayF • 31 - 28 vs. LAC,DEN,RB,18,LAC,15,103,6.9,1,1,1,15,0,1,0,21.8,21.8
 Tevin ColemanF • 15 - 37 @ CAR,SF,RB,5,CAR,8,23,2.9,1,3,3,44,1,0,0,21.7,21.7
 Aaron JonesF • 24 - 12 vs. LAR,GB,RB,15,LAR,17,90,5.3,0,5,4,36,1,1,1,21.6,21.6
 Joe MixonF/OT • 20 - 23 vs. PIT,CIN,RB,1,PIT,27,82,3,0,9,7,63,0,0,0,21.5,21.5
 Rhamondre StevensonF • 17 - 22 @ NYJ,NE,RB,8,NYJ,16,71,4.4,0,7,7,72,0,0,0,21.3,21.3
 Saquon BarkleyF • 20 - 12 vs. CHI,NYG,RB,4,CHI,31,146,4.7,0,2,2,16,0,0,0,21.2,21.2
 David MontgomeryF • 27 - 24 @ ATL,CHI,RB,11,ATL,17,67,3.9,1,4,3,54,0,0,0,21.1,21.1
 D'Andre SwiftF • 40 - 14 vs. JAX,DET,RB,13,JAX,14,62,4.4,1,6,4,49,0,0,0,21.1,21.1
 J.K. DobbinsF • 14 - 16 @ PIT,BAL,RB,14,PIT,15,120,8,1,0,0,0,0,0,0,21,21
 AJ DillonF • 19 - 28 @ CHI,GB,RB,13,CHI,18,93,5.2,1,3,3,26,0,0,0,20.9,20.9
 Raheem MostertF • 16 - 10 vs. PIT,MIA,RB,7,PIT,16,79,4.9,0,5,4,30,1,1,0,20.9,20.9
 Javonte Williams OF • 17 - 16 @ SEA,DEN,RB,1,SEA,7,43,6.1,0,12,11,65,0,1,1,20.8,20.8
 Antonio GibsonF • 16 - 17 @ IND,WAS,RB,8,IND,7,19,2.7,0,7,7,58,1,0,0,20.7,20.7
 JaMycal HastyF • 28 - 27 vs. BAL,JAX,RB,12,BAL,12,28,2.3,0,5,5,67,1,0,0,20.5,20.5
 Saquon BarkleyF • 17 - 23 @ JAX,NYG,RB,7,JAX,24,110,4.6,0,4,4,25,0,0,0,20.5,20.5
 Cordarrelle PattersonF • 20 - 19 vs. ARI,ATL,RB,17,ARI,9,42,4.7,1,8,6,42,0,0,0,20.4,20.4
 Nick ChubbF • 29 - 17 vs. PIT,CLE,RB,3,PIT,23,113,4.9,1,1,0,0,0,0,0,20.3,20.3
 Dameon PierceF • 6 - 13 @ JAX,HOU,RB,5,JAX,26,99,3.8,1,5,3,14,0,0,0,20.3,20.3
 Rhamondre StevensonF • 33 - 26 @ MIN,NE,RB,12,MIN,7,36,5.1,0,10,9,76,0,0,0,20.2,20.2
 Rhamondre StevensonF • 26 - 37 vs. BAL,NE,RB,3,BAL,12,73,6.1,1,5,4,28,0,0,0,20.1,20.1
 AJ DillonF • 23 - 7 @ MIN,GB,RB,1,MIN,10,45,4.5,1,6,5,46,0,0,0,20.1,20.1
 Antonio GibsonF • 28 - 22 vs. JAX,WAS,RB,1,JAX,14,58,4.1,0,8,7,72,0,0,0,20,20
 James RobinsonF • 28 - 22 @ WAS,JAX,RB,1,WAS,11,66,6,1,2,1,3,1,0,0,19.9,19.9
 Rachaad WhiteF/OT • 23 - 17 @ CLE,TB,RB,12,CLE,14,64,4.6,0,9,9,45,0,0,0,19.9,19.9
 Tony PollardF • 20 - 17 vs. CIN,DAL,RB,2,CIN,9,43,4.8,1,7,4,55,0,0,0,19.8,19.8
 Derrick HenryF • 19 - 10 vs. IND,TEN,RB,7,IND,30,128,4.3,0,3,3,10,0,0,0,19.8,19.8
 Christian McCaffreyF • 19 - 16 @ NYG,CAR,RB,2,NYG,15,102,6.8,0,5,4,26,0,0,0,19.8,19.8
 Saquon BarkleyF • 22 - 27 @ GB,NYG,RB,5,GB,13,70,5.4,1,6,3,36,0,0,0,19.6,19.6
 Raheem MostertF • 32 - 29 @ BUF,MIA,RB,15,BUF,17,136,8,0,2,1,20,0,0,0,19.6,19.6
 Josh JacobsF/OT • 34 - 37 vs. SF,LV,RB,17,SF,17,69,4.1,1,5,4,26,0,0,0,19.5,19.5
 D'Onta ForemanF • 21 - 3 vs. TB,CAR,RB,7,TB,15,118,7.9,0,2,2,27,0,0,0,19.5,19.5
 Josh JacobsF • 17 - 16 @ LAR,LV,RB,14,LAR,27,99,3.7,1,2,2,15,0,0,0,19.4,19.4
 Samaje PerineF • 16 - 20 @ TEN,CIN,RB,12,TEN,17,58,3.4,1,7,4,35,0,0,0,19.3,19.3
 Jamaal WilliamsF • 16 - 20 @ GB,DET,RB,18,GB,16,72,4.5,2,0,0,0,0,0,0,19.2,19.2
 Saquon BarkleyF/OT • 20 - 20 vs. WAS,NYG,RB,13,WAS,18,63,3.5,1,5,5,18,0,0,0,19.1,19.1
 Cam AkersF • 23 - 27 vs. SEA,LAR,RB,13,SEA,17,60,3.5,2,1,1,0,0,0,0,19,19
 Alexander MattisonF • 13 - 29 @ CHI,MIN,RB,18,CHI,10,54,5.4,2,1,1,6,0,0,0,19,19
 Kenneth Walker IIIF • 19 - 9 vs. ARI,SEA,RB,6,ARI,21,97,4.6,1,3,2,13,0,0,0,19,19
 Alvin KamaraF • 10 - 17 @ CLE,NO,RB,16,CLE,20,76,3.8,1,4,2,34,0,0,0,19,19
 Aaron JonesF • 40 - 33 @ PHI,GB,RB,12,PHI,12,43,3.6,0,4,3,56,1,0,0,18.9,18.9
 Chuba HubbardF • 24 - 30 @ SEA,CAR,RB,14,SEA,14,74,5.3,1,3,3,25,0,0,0,18.9,18.9
 Jonathan TaylorF • 17 - 24 vs. PIT,IND,RB,12,PIT,20,86,4.3,1,4,3,12,0,0,0,18.8,18.8
 Cam AkersF/OT • 19 - 16 @ SEA,LAR,RB,18,SEA,21,104,5,0,3,3,24,0,0,0,18.8,18.8
 Nick ChubbF • 23 - 20 @ BAL,CLE,RB,7,BAL,16,91,5.7,1,3,2,16,0,0,0,18.7,18.7
 Raheem MostertF • 39 - 17 vs. CLE,MIA,RB,10,CLE,8,65,8.1,1,4,4,22,0,0,0,18.7,18.7
