Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
137,San Francisco 49ers,SF,DST,15,SEA,5,3,9,0,1,0,0,0,13,9,9
137,Philadelphia Eagles,PHI,DST,15,CHI,9,6,6,0,1,0,0,0,20,9,9
137,Cincinnati Bengals,CIN,DST,15,TB,1,1,7,2,2,0,0,0,23,9,9
137,Minnesota Vikings,MIN,DST,12,NE,3,3,3,0,0,0,0,1,26,9,9
137,Detroit Lions,DET,DST,11,NYG,5,2,10,2,1,0,0,0,18,9,9
137,Carolina Panthers,CAR,DST,11,BAL,10,3,3,1,0,0,0,0,13,9,9
137,Kansas City Chiefs,KC,DST,11,LAC,9,5,10,1,1,0,0,0,27,9,9
137,New England Patriots,NE,DST,8,NYJ,3,2,2,3,0,0,0,0,17,9,9
137,Tennessee Titans,TEN,DST,8,HOU,8,3,6,1,0,0,0,0,10,9,9
137,Los Angeles Chargers,LAC,DST,17,LAR,5,3,4,0,1,0,0,0,10,9,9
137,Jacksonville Jaguars,JAX,DST,3,LAC,3,1,6,1,1,0,0,0,10,9,9
137,Philadelphia Eagles,PHI,DST,14,NYG,10,7,12,0,1,0,0,0,22,9,9
137,Detroit Lions,DET,DST,2,WAS,5,5,11,1,0,1,0,0,27,9,9
137,Los Angeles Rams,LAR,DST,2,ATL,4,3,6,2,1,0,0,0,25,9,9
137,Arizona Cardinals,ARI,DST,2,LV,3,1,5,0,1,0,1,0,23,9,9
137,Green Bay Packers,GB,DST,2,CHI,6,3,5,1,0,0,0,0,10,9,9
137,Green Bay Packers,GB,DST,7,WAS,6,1,9,1,0,0,1,0,23,9,9
137,Los Angeles Rams,LAR,DST,1,BUF,2,2,2,2,2,0,0,0,31,9,9
137,Tennessee Titans,TEN,DST,1,NYG,6,5,8,1,1,0,0,0,21,9,9
137,Green Bay Packers,GB,DST,13,CHI,4,0,3,2,1,0,0,0,19,9,9
137,Minnesota Vikings,MIN,DST,16,NYG,1,3,11,1,1,0,0,0,24,9,9
137,Miami Dolphins,MIA,DST,9,CHI,3,2,2,0,0,0,0,1,32,9,9
137,Carolina Panthers,CAR,DST,18,NO,3,1,3,0,1,0,0,0,7,9,9
137,Miami Dolphins,MIA,DST,3,BUF,4,4,11,0,1,0,0,0,17,9,9
137,Seattle Seahawks,SEA,DST,2,SF,7,1,4,0,0,0,0,1,27,9,9
170,Buffalo Bills,BUF,DST,6,KC,4,3,9,2,0,0,0,0,20,8,8
170,Carolina Panthers,CAR,DST,10,ATL,11,5,9,1,0,0,0,0,15,8,8
170,Buffalo Bills,BUF,DST,10,MIN,10,4,10,2,0,0,0,0,27,8,8
170,Arizona Cardinals,ARI,DST,10,LAR,5,3,12,1,1,0,0,0,17,8,8
170,Houston Texans,HOU,DST,13,CLE,5,1,2,1,1,1,0,0,15,8,8
170,New York Giants,NYG,DST,13,WAS,5,5,10,0,1,0,0,0,20,8,8
170,Seattle Seahawks,SEA,DST,13,LAR,6,4,9,2,0,0,0,0,23,8,8
170,Los Angeles Rams,LAR,DST,13,SEA,5,4,8,1,1,0,0,0,27,8,8
170,Las Vegas Raiders,LV,DST,13,LAC,0,5,0,0,1,0,0,0,14,8,8
170,Baltimore Ravens,BAL,DST,16,ATL,3,2,4,0,1,0,0,0,9,8,8
170,New Orleans Saints,NO,DST,16,CLE,6,2,4,1,0,0,0,0,10,8,8
170,Kansas City Chiefs,KC,DST,16,SEA,9,2,7,1,0,0,0,0,10,8,8
170,Tampa Bay Buccaneers,TB,DST,16,ARI,5,1,7,1,2,0,0,0,16,8,8
170,Philadelphia Eagles,PHI,DST,9,HOU,7,3,4,2,0,0,0,0,17,8,8
170,Seattle Seahawks,SEA,DST,9,ARI,8,5,5,0,1,0,0,0,15,8,8
170,Tampa Bay Buccaneers,TB,DST,9,LAR,8,4,8,0,0,0,0,0,13,8,8
170,Los Angeles Rams,LAR,DST,18,SEA,9,3,5,2,0,0,0,0,19,8,8
170,Seattle Seahawks,SEA,DST,18,LAR,5,5,10,1,0,0,0,0,16,8,8
170,Los Angeles Chargers,LAC,DST,4,HOU,6,4,10,2,0,0,0,0,24,8,8
170,Tennessee Titans,TEN,DST,15,LAC,4,3,8,2,0,0,0,0,17,8,8
170,Buffalo Bills,BUF,DST,12,DET,7,2,10,0,2,1,0,0,25,8,8
170,New York Jets,NYJ,DST,12,CHI,3,2,5,1,0,0,0,0,10,8,8
170,Indianapolis Colts,IND,DST,11,PHI,3,3,4,0,2,0,0,0,17,8,8
170,Atlanta Falcons,ATL,DST,8,CAR,4,1,2,1,0,0,1,0,34,8,8
170,New York Jets,NYJ,DST,8,NE,13,6,8,1,0,0,0,0,22,8,8
170,Houston Texans,HOU,DST,8,TEN,5,3,4,1,1,0,0,0,17,8,8
170,Tampa Bay Buccaneers,TB,DST,17,CAR,4,2,6,1,2,0,0,0,24,8,8
170,Kansas City Chiefs,KC,DST,17,DEN,5,4,8,1,1,0,0,0,24,8,8
170,Kansas City Chiefs,KC,DST,3,IND,6,5,10,0,1,0,0,0,20,8,8
170,San Francisco 49ers,SF,DST,3,DEN,7,4,9,0,0,0,0,0,9,8,8
170,Cincinnati Bengals,CIN,DST,14,CLE,3,2,9,1,0,0,0,0,10,8,8
170,Detroit Lions,DET,DST,14,MIN,7,4,9,0,2,0,0,0,23,8,8
170,New England Patriots,NE,DST,2,PIT,3,3,3,1,1,0,0,0,14,8,8
170,Carolina Panthers,CAR,DST,7,TB,3,1,3,0,0,0,0,0,3,8,8
170,Indianapolis Colts,IND,DST,7,TEN,6,2,7,0,1,0,0,0,13,8,8
170,Indianapolis Colts,IND,DST,1,HOU,5,3,5,0,2,0,0,0,20,8,8
170,Cleveland Browns,CLE,DST,1,CAR,5,4,6,1,1,0,0,0,24,8,8
170,Cincinnati Bengals,CIN,DST,4,MIA,4,1,9,2,0,0,0,0,15,8,8
170,Los Angeles Rams,LAR,DST,3,ARI,5,2,5,0,0,0,0,0,12,8,8
170,New York Jets,NYJ,DST,14,BUF,5,3,5,0,0,1,0,0,20,8,8
210,Chicago Bears,CHI,DST,6,WAS,3,3,3,0,0,0,0,0,12,7,7
210,New York Giants,NYG,DST,6,BAL,4,2,2,1,1,0,0,0,20,7,7
210,Philadelphia Eagles,PHI,DST,6,DAL,0,0,4,3,0,0,0,0,17,7,7
210,Los Angeles Chargers,LAC,DST,6,DEN,7,4,6,0,1,0,0,0,16,7,7
210,New Orleans Saints,NO,DST,10,PIT,7,6,7,0,0,0,0,0,20,7,7
210,Philadelphia Eagles,PHI,DST,10,WAS,3,3,4,1,1,0,0,0,26,7,7
210,Washington Commanders,WAS,DST,13,NYG,8,4,4,0,1,0,0,0,20,7,7
210,San Francisco 49ers,SF,DST,16,WAS,5,2,7,1,1,0,0,0,20,7,7
210,Dallas Cowboys,DAL,DST,16,PHI,2,0,0,2,2,0,0,0,28,7,7
210,Los Angeles Chargers,LAC,DST,9,ATL,4,2,3,0,2,0,0,0,17,7,7
210,Indianapolis Colts,IND,DST,9,NE,8,4,7,0,1,0,0,0,20,7,7
210,Tennessee Titans,TEN,DST,9,KC,4,4,9,1,0,0,0,0,20,7,7
210,Detroit Lions,DET,DST,18,GB,3,2,7,1,1,0,0,0,16,7,7
210,Buffalo Bills,BUF,DST,4,BAL,5,2,5,2,0,0,0,0,20,7,7
210,Pittsburgh Steelers,PIT,DST,4,NYJ,5,1,6,2,1,0,0,0,24,7,7
210,Seattle Seahawks,SEA,DST,4,DET,1,1,3,1,1,0,1,0,45,7,7
210,Green Bay Packers,GB,DST,4,NE,6,4,6,0,1,0,0,0,18,7,7
210,Baltimore Ravens,BAL,DST,15,CLE,5,3,5,0,0,0,0,0,13,7,7
210,Chicago Bears,CHI,DST,15,PHI,2,1,1,2,1,0,0,0,25,7,7
210,New Orleans Saints,NO,DST,15,ATL,6,4,5,0,1,0,0,0,18,7,7
210,Los Angeles Chargers,LAC,DST,15,TEN,7,4,5,1,0,0,0,0,14,7,7
210,Los Angeles Rams,LAR,DST,15,GB,6,3,5,1,1,0,0,0,24,7,7
210,Washington Commanders,WAS,DST,12,ATL,4,1,4,1,0,0,0,0,13,7,7
210,Houston Texans,HOU,DST,12,MIA,7,5,6,0,1,0,0,0,24,7,7
210,Philadelphia Eagles,PHI,DST,11,IND,7,4,8,0,1,0,0,0,16,7,7
210,Denver Broncos,DEN,DST,8,JAX,6,2,2,2,0,0,0,0,17,7,7
210,Washington Commanders,WAS,DST,8,IND,5,2,7,0,2,0,0,0,16,7,7
210,Tennessee Titans,TEN,DST,17,DAL,3,1,4,2,1,0,0,0,27,7,7
210,Pittsburgh Steelers,PIT,DST,17,BAL,3,1,3,1,0,0,0,0,13,7,7
210,Cincinnati Bengals,CIN,DST,17,BUF,0,0,0,0,0,0,0,0,3,7,7
210,Seattle Seahawks,SEA,DST,3,ATL,2,3,6,1,1,0,0,0,27,7,7
210,Las Vegas Raiders,LV,DST,14,LAR,5,4,6,0,1,0,0,0,17,7,7
210,Houston Texans,HOU,DST,14,DAL,4,1,5,2,1,0,0,0,27,7,7
210,Denver Broncos,DEN,DST,14,KC,5,2,5,3,0,0,0,0,28,7,7
210,Carolina Panthers,CAR,DST,14,SEA,4,3,5,2,0,0,0,0,24,7,7
210,Baltimore Ravens,BAL,DST,2,MIA,4,1,2,2,0,0,0,1,42,7,7
210,New York Giants,NYG,DST,2,CAR,5,2,4,0,2,0,0,0,16,7,7
210,Dallas Cowboys,DAL,DST,2,CIN,8,6,9,0,0,0,0,0,17,7,7
210,Denver Broncos,DEN,DST,2,HOU,4,3,6,0,0,0,0,0,9,7,7
210,New York Jets,NYJ,DST,7,DEN,1,1,7,1,0,0,0,0,9,7,7
210,Seattle Seahawks,SEA,DST,7,LAC,4,3,8,1,1,0,0,0,21,7,7
210,Houston Texans,HOU,DST,1,IND,6,2,7,1,1,0,0,0,20,7,7
210,Seattle Seahawks,SEA,DST,1,DEN,6,2,8,0,2,0,0,0,16,7,7
210,Cincinnati Bengals,CIN,DST,8,CLE,3,2,7,1,1,0,0,0,32,7,7
210,Minnesota Vikings,MIN,DST,2,PHI,7,3,6,1,0,0,0,0,24,7,7
255,Baltimore Ravens,BAL,DST,6,NYG,6,4,5,0,1,0,0,0,24,6,6
255,Indianapolis Colts,IND,DST,6,JAX,9,4,4,0,1,0,0,0,27,6,6
255,Tampa Bay Buccaneers,TB,DST,5,ATL,8,5,10,0,0,0,0,0,15,6,6
255,Tennessee Titans,TEN,DST,5,WAS,1,3,7,1,0,0,0,0,17,6,6
255,Baltimore Ravens,BAL,DST,5,CIN,5,3,5,1,0,0,0,0,17,6,6
255,Tampa Bay Buccaneers,TB,DST,10,SEA,3,3,6,0,1,0,0,0,16,6,6
255,Miami Dolphins,MIA,DST,10,CLE,3,3,14,0,1,0,0,0,17,6,6
255,Jacksonville Jaguars,JAX,DST,10,KC,2,0,4,1,2,0,0,0,27,6,6
255,Kansas City Chiefs,KC,DST,10,JAX,7,5,6,0,0,0,0,0,17,6,6
255,San Francisco 49ers,SF,DST,10,LAC,5,3,9,1,0,0,0,0,16,6,6
255,Baltimore Ravens,BAL,DST,13,DEN,5,2,4,0,0,0,0,0,9,6,6
255,Miami Dolphins,MIA,DST,13,SF,5,4,10,1,0,0,0,0,27,6,6
255,New Orleans Saints,NO,DST,13,TB,2,1,6,1,1,0,0,0,17,6,6
255,Las Vegas Raiders,LV,DST,16,PIT,5,0,4,1,0,0,0,0,13,6,6
255,Minnesota Vikings,MIN,DST,9,WAS,6,3,7,1,0,0,0,0,17,6,6
255,Cincinnati Bengals,CIN,DST,9,CAR,1,0,1,2,1,0,0,0,21,6,6
255,Dallas Cowboys,DAL,DST,18,WAS,8,3,4,1,0,0,0,0,20,6,6
255,Minnesota Vikings,MIN,DST,4,NO,3,2,3,0,2,0,0,0,25,6,6
255,Chicago Bears,CHI,DST,4,NYG,3,1,2,1,1,0,0,0,20,6,6
255,Atlanta Falcons,ATL,DST,4,CLE,3,1,7,1,1,0,0,0,20,6,6
255,Dallas Cowboys,DAL,DST,15,JAX,2,1,5,1,2,0,0,0,34,6,6
255,Tampa Bay Buccaneers,TB,DST,12,CLE,7,4,11,1,0,0,0,0,23,6,6
255,Las Vegas Raiders,LV,DST,12,SEA,5,3,10,1,1,0,0,0,34,6,6
255,Philadelphia Eagles,PHI,DST,12,GB,4,3,5,2,0,0,0,0,33,6,6
255,Green Bay Packers,GB,DST,8,BUF,4,2,3,2,0,0,0,0,27,6,6
255,Houston Texans,HOU,DST,17,JAX,8,2,3,2,0,0,0,0,25,6,6
255,Chicago Bears,CHI,DST,3,HOU,5,1,3,2,0,0,0,0,20,6,6
255,New England Patriots,NE,DST,3,BAL,4,4,5,1,2,0,0,0,37,6,6
255,Indianapolis Colts,IND,DST,3,KC,4,1,5,1,1,0,0,0,17,6,6
255,Tampa Bay Buccaneers,TB,DST,3,GB,5,1,6,1,1,0,0,0,14,6,6
255,Houston Texans,HOU,DST,2,DEN,5,3,7,1,0,0,0,0,16,6,6
255,Jacksonville Jaguars,JAX,DST,1,WAS,5,1,4,2,1,0,0,0,28,6,6
255,Atlanta Falcons,ATL,DST,1,NO,4,4,8,0,1,0,0,0,27,6,6
255,Las Vegas Raiders,LV,DST,11,DEN,6,3,10,0,0,0,0,0,16,6,6
255,Arizona Cardinals,ARI,DST,8,MIN,4,3,9,0,1,0,0,0,34,6,6
255,Carolina Panthers,CAR,DST,17,TB,8,3,8,0,1,0,0,0,30,6,6
255,Denver Broncos,DEN,DST,17,KC,0,0,3,1,1,0,0,0,27,6,6
255,New Orleans Saints,NO,DST,1,ATL,2,0,1,0,2,0,0,0,26,6,6
293,Denver Broncos,DEN,DST,6,LAC,6,2,8,1,0,0,0,0,19,5,5
293,Jacksonville Jaguars,JAX,DST,5,HOU,4,1,5,0,0,0,0,0,13,5,5
293,Washington Commanders,WAS,DST,5,TEN,7,5,13,0,0,0,0,0,21,5,5
293,Dallas Cowboys,DAL,DST,10,GB,4,2,2,0,2,0,0,0,31,5,5
293,Green Bay Packers,GB,DST,10,DAL,3,2,6,2,0,0,0,0,28,5,5
