Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
344,Daniel Bellinger,NYG,TE,17,IND,3,3,100,42,0,24,14,14,0,0,0,0,0,0,7.2,7.2
344,Cameron Brate,TB,TE,4,KC,8,4,50,32,0,11,4,8,0,0,0,0,0,0,7.2,7.2
353,Jody Fortson,KC,TE,1,ARI,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
353,Chris Myarick,NYG,TE,1,TEN,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
353,Johnny Mundt,MIN,TE,8,ARI,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
353,Jake Ferguson,DAL,TE,8,CHI,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
353,Shane Zylstra,DET,TE,9,GB,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
353,Jody Fortson,KC,TE,11,LAC,2,2,100,51,0,40,25.5,25.5,0,0,0,0,0,0,7.1,7.1
353,Trey McBride,ARI,TE,18,SF,3,3,100,41,0,23,13.7,13.7,0,0,0,0,0,0,7.1,7.1
353,Jack Stoll,PHI,TE,13,TEN,3,3,100,41,0,26,13.7,13.7,0,0,0,0,0,0,7.1,7.1
361,Dawson Knox,BUF,TE,4,BAL,6,3,50,40,0,20,6.7,13.3,0,0,0,0,0,0,7,7
361,Greg Dulcich,DEN,TE,11,LV,5,4,80,30,0,15,6,7.5,0,0,0,0,0,0,7,7
361,Isaiah Likely,BAL,TE,13,DEN,4,4,100,30,0,12,7.5,7.5,0,0,0,0,0,0,7,7
364,Connor Heyward,PIT,TE,6,TB,3,2,66.7,49,0,45,16.3,24.5,0,0,0,0,0,0,6.9,6.9
364,Pat Freiermuth,PIT,TE,12,IND,4,3,75,39,0,17,9.8,13,0,0,0,0,0,0,6.9,6.9
364,Durham Smythe,MIA,TE,18,NYJ,5,3,60,39,0,26,7.8,13,0,0,0,0,0,0,6.9,6.9
364,Jordan Akins,HOU,TE,16,TEN,3,3,100,39,0,30,13,13,0,0,0,0,0,0,6.9,6.9
364,John Bates,WAS,TE,5,TEN,3,3,100,39,0,20,13,13,0,0,0,0,0,0,6.9,6.9
364,Logan Thomas,WAS,TE,4,DAL,6,5,83.3,19,0,6,3.2,3.8,0,0,0,0,0,0,6.9,6.9
370,George Kittle,SF,TE,14,TB,5,4,80,28,0,15,5.6,7,0,0,0,0,0,0,6.8,6.8
370,Cade Otton,TB,TE,14,SF,5,4,80,28,0,11,5.6,7,0,0,0,0,0,0,6.8,6.8
370,George Kittle,SF,TE,3,DEN,5,4,80,28,0,11,5.6,7,0,0,0,0,0,0,6.8,6.8
370,Evan Engram,JAX,TE,1,WAS,4,4,100,28,0,11,7,7,0,0,0,0,0,0,6.8,6.8
370,Irv Smith Jr.,MIN,TE,8,ARI,4,4,100,28,0,11,7,7,0,0,0,0,0,0,6.8,6.8
375,Colby Parkinson,SEA,TE,18,LAR,3,2,66.7,47,0,32,15.7,23.5,0,0,0,0,0,0,6.7,6.7
375,Adam Trautman,NO,TE,4,MIN,3,3,100,37,0,14,12.3,12.3,0,0,0,0,0,0,6.7,6.7
375,Evan Engram,JAX,TE,18,TEN,4,4,100,27,0,10,6.8,6.8,0,0,0,0,0,0,6.7,6.7
375,Noah Fant,SEA,TE,3,ATL,4,4,100,27,0,16,6.8,6.8,0,0,0,0,0,0,6.7,6.7
379,Ross Dwelley,SF,TE,8,LAR,1,1,100,56,0,56,56,56,0,0,0,0,0,0,6.6,6.6
379,Pat Freiermuth,PIT,TE,17,BAL,6,3,50,36,0,20,6,12,0,0,0,0,0,0,6.6,6.6
379,Robert Tonyan,GB,TE,1,MIN,5,3,60,36,0,23,7.2,12,0,0,0,0,0,0,6.6,6.6
382,Chigoziem Okonkwo,TEN,TE,12,CIN,5,3,60,35,0,17,7,11.7,0,0,0,0,0,0,6.5,6.5
382,Cole Kmet,CHI,TE,11,ATL,4,3,75,35,0,24,8.8,11.7,0,0,0,0,0,0,6.5,6.5
382,Cade Otton,TB,TE,10,SEA,3,3,100,35,0,25,11.7,11.7,0,0,0,0,0,0,6.5,6.5
382,Donald Parham Jr.,LAC,TE,15,TEN,3,3,100,35,0,18,11.7,11.7,0,0,0,0,0,0,6.5,6.5
382,Dawson Knox,BUF,TE,3,MIA,4,4,100,25,0,8,6.2,6.2,0,0,0,0,0,0,6.5,6.5
382,Jonnu Smith,NE,TE,3,BAL,4,4,100,25,0,8,6.2,6.2,0,0,0,0,0,0,6.5,6.5
382,Cole Kmet,CHI,TE,15,PHI,5,4,80,25,0,7,5,6.2,0,0,0,0,0,0,6.5,6.5
389,Colby Parkinson,SEA,TE,3,ATL,2,2,100,44,0,36,22,22,0,0,0,0,0,0,6.4,6.4
389,Noah Fant,SEA,TE,12,LV,3,3,100,34,0,24,11.3,11.3,0,0,0,0,0,0,6.4,6.4
389,Noah Fant,SEA,TE,10,TB,4,3,75,34,0,15,8.5,11.3,0,0,0,0,0,0,6.4,6.4
389,Tommy Tremble,CAR,TE,4,ARI,6,3,50,34,0,16,5.7,11.3,0,0,0,0,0,0,6.4,6.4
393,Juwan Johnson,NO,TE,1,ATL,5,2,40,43,0,26,8.6,21.5,0,0,0,0,0,0,6.3,6.3
393,Jonnu Smith,NE,TE,1,MIA,4,3,75,33,0,15,8.2,11,0,0,0,0,0,0,6.3,6.3
393,Mark Andrews,BAL,TE,8,TB,5,3,60,33,0,22,6.6,11,0,0,0,0,0,0,6.3,6.3
393,Juwan Johnson,NO,TE,4,MIN,4,3,75,33,0,16,8.2,11,0,0,0,0,0,0,6.3,6.3
393,Robert Tonyan,GB,TE,5,NYG,4,4,100,23,0,14,5.8,5.8,0,0,0,0,0,0,6.3,6.3
398,Peyton Hendershot,DAL,TE,12,NYG,0,0,0,0,0,0,0,0,1,2,2,1,0,0,6.2,6.2
398,Robert Tonyan,GB,TE,7,WAS,4,3,75,32,0,21,8,10.7,0,0,0,0,0,0,6.2,6.2
398,David Njoku,CLE,TE,2,NYJ,5,3,60,32,0,15,6.4,10.7,0,0,0,0,0,0,6.2,6.2
398,Tyler Conklin,NYJ,TE,7,DEN,6,4,66.7,22,0,8,3.7,5.5,0,0,0,0,0,0,6.2,6.2
402,Noah Gray,KC,TE,4,TB,1,0,0,0,0,0,0,0,1,1,1,1,0,0,6.1,6.1
402,Zach Ertz,ARI,TE,7,NO,4,2,50,21,0,15,5.2,10.5,0,0,0,0,0,0,6.1,6.1
402,Pat Freiermuth,PIT,TE,3,CLE,4,2,50,41,0,26,10.2,20.5,0,0,0,0,0,0,6.1,6.1
402,Pharaoh Brown,HOU,TE,3,CHI,4,3,75,31,0,30,7.8,10.3,0,0,0,0,0,0,6.1,6.1
402,Mark Andrews,BAL,TE,15,CLE,7,3,42.9,31,0,19,4.4,10.3,0,0,0,0,0,0,6.1,6.1
402,Noah Gray,KC,TE,15,HOU,3,3,100,31,0,13,10.3,10.3,0,0,0,0,0,0,6.1,6.1
408,Cole Kmet,CHI,TE,3,HOU,3,2,66.7,40,0,24,13.3,20,0,0,0,0,0,0,6,6
408,Noah Fant,SEA,TE,17,NYJ,3,2,66.7,40,0,29,13.3,20,0,0,0,0,0,0,6,6
408,Zach Gentry,PIT,TE,1,CIN,2,2,100,40,0,32,20,20,0,0,0,0,0,0,6,6
408,Austin Hooper,TEN,TE,12,CIN,4,3,75,30,0,12,7.5,10,0,0,0,0,0,0,6,6
